Preprocessing,Scoring_Method,Normalization,Ensemble_Method,Detector,ROC-AUC,PR-AUC,Precision@50,notes
log,discrete,min-max,avg,IsolationForest,0.7261596159615962,0.1318174065357953,0.34,cleaned_data_v2
log,discrete,min-max,avg,LOF_k130_cauto,0.8043093309330933,0.1082087087320219,0.02,cleaned_data_v2
log,discrete,min-max,avg,LOF_k75_cauto,0.7548823882388239,0.0853617584727691,0.0,cleaned_data_v2
log,discrete,min-max,avg,LOF_k130_c0.01,0.571169816981698,0.0691163743747783,0.24,cleaned_data_v2
log,discrete,min-max,avg,LOF_k50_cauto,0.6942229222922291,0.0642356613858534,0.0,cleaned_data_v2
log,discrete,min-max,max,IsolationForest,0.694010201020102,0.1052671119544401,0.32,cleaned_data_v2
log,discrete,min-max,max,LOF_k130_cauto,0.7388802880288028,0.071421048973588,0.02,cleaned_data_v2
log,discrete,min-max,max,LOF_k75_cauto,0.7238073807380738,0.069999326105952,0.02,cleaned_data_v2
log,discrete,min-max,max,LOF_k130_c0.01,0.5709738973897389,0.0659857376665887,0.02,cleaned_data_v2
log,discrete,min-max,max,LOF_k50_cauto,0.6896345634563457,0.0643436663407397,0.02,cleaned_data_v2
log,discrete,none,avg,IsolationForest,0.7295097509750975,0.1427119919516263,0.42,cleaned_data_v2
log,discrete,none,avg,LOF_k130_cauto,0.7946771677167715,0.1041750617156914,0.02,cleaned_data_v2
log,discrete,none,avg,LOF_k75_cauto,0.7454818481848184,0.0814938367661233,0.0,cleaned_data_v2
log,discrete,none,avg,LOF_k130_c0.01,0.571169816981698,0.0691163743747783,0.24,cleaned_data_v2
log,discrete,none,avg,LOF_k50_cauto,0.6866063606360636,0.0622751149938816,0.0,cleaned_data_v2
log,discrete,none,max,IsolationForest,0.6183597359735973,0.1106058549426461,0.36,cleaned_data_v2
log,discrete,none,max,LOF_k130_cauto,0.7388802880288028,0.071421048973588,0.02,cleaned_data_v2
log,discrete,none,max,LOF_k75_cauto,0.7238073807380738,0.069999326105952,0.02,cleaned_data_v2
log,discrete,none,max,LOF_k130_c0.01,0.5709738973897389,0.0659857376665887,0.02,cleaned_data_v2
log,discrete,none,max,LOF_k50_cauto,0.6896345634563457,0.0643436663407397,0.02,cleaned_data_v2
log,continuous,min-max,avg,IsolationForest,0.7261596159615962,0.1318174065357953,0.34,cleaned_data_v2
log,continuous,min-max,avg,LOF_k130_c0.01,0.8013807380738073,0.1007016141899804,0.14,cleaned_data_v2
log,continuous,min-max,avg,LOF_k130_cauto,0.8013807380738073,0.1007016141899804,0.14,cleaned_data_v2
log,continuous,min-max,avg,LOF_k75_c0.01,0.7789324932493249,0.0879303401508375,0.16,cleaned_data_v2
log,continuous,min-max,avg,LOF_k75_cauto,0.7789324932493249,0.0879303401508375,0.16,cleaned_data_v2
log,continuous,min-max,max,IsolationForest,0.694010201020102,0.1052671119544401,0.32,cleaned_data_v2
log,continuous,min-max,max,LOF_k130_c0.01,0.7695211521152114,0.1023431938789477,0.26,cleaned_data_v2
log,continuous,min-max,max,LOF_k130_cauto,0.7695211521152114,0.1023431938789477,0.26,cleaned_data_v2
log,continuous,min-max,max,LOF_k75_c0.01,0.7626966696669667,0.0906312146102763,0.2,cleaned_data_v2
log,continuous,min-max,max,LOF_k75_cauto,0.7626966696669667,0.0906312146102763,0.2,cleaned_data_v2
log,continuous,z-score,avg,IsolationForest,0.726879087908791,0.1540583065184461,0.44,cleaned_data_v2
log,continuous,z-score,avg,LOF_k130_c0.01,0.8088220822082207,0.1274668958670573,0.28,cleaned_data_v2
log,continuous,z-score,avg,LOF_k130_cauto,0.8088220822082207,0.1274668958670573,0.28,cleaned_data_v2
log,continuous,z-score,avg,LOF_k75_c0.01,0.7814761476147616,0.0894031418387843,0.16,cleaned_data_v2
